session_name,status,mode,total_spikes,localized_spikes,skipped_spikes,localization_coverage,good_cluster_coverage,corrupted_interval_flag,corrupted_region_summary_present,required_outputs_present,quality_status,quality_warnings,localized_spike_table_path,validation_report_path,good_cluster_summary_path,raster_path,corrupted_region_summary_path,output_dir
AL032_2019-11-21,complete,partial,4700551,4686120,14431,0.9969299343842881,0.9969182943136892,True,True,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21/AL032_2019-11-21_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21/AL032_2019-11-21_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21/AL032_2019-11-21_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21/AL032_2019-11-21_exact_depth_raster.png,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21/AL032_2019-11-21_corrupted_region_summary.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21
AL032_2019-11-22,complete,exact,4594033,4594033,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22/AL032_2019-11-22_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22/AL032_2019-11-22_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22/AL032_2019-11-22_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22/AL032_2019-11-22_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22
AL032_2019-12-03,complete,exact,5951304,5951304,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03/AL032_2019-12-03_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03/AL032_2019-12-03_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03/AL032_2019-12-03_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03/AL032_2019-12-03_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03
AL032_2019-12-13,complete,exact,6009832,6009832,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13/AL032_2019-12-13_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13/AL032_2019-12-13_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13/AL032_2019-12-13_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13/AL032_2019-12-13_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13
AL032_2020-01-07,complete,exact,6260412,6260412,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07/AL032_2020-01-07_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07/AL032_2020-01-07_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07/AL032_2020-01-07_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07/AL032_2020-01-07_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07
AL032_2020-01-16,complete,exact,5653766,5653766,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16/AL032_2020-01-16_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16/AL032_2020-01-16_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16/AL032_2020-01-16_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16/AL032_2020-01-16_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16
AL032_2020-02-04,complete,exact,6783105,6783105,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04/AL032_2020-02-04_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04/AL032_2020-02-04_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04/AL032_2020-02-04_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04/AL032_2020-02-04_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04
AL032_2020-02-19,complete,exact,5959593,5959593,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19/AL032_2020-02-19_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19/AL032_2020-02-19_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19/AL032_2020-02-19_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19/AL032_2020-02-19_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19
AL032_2020-03-06,complete,exact,6237289,6237289,0,1.0,1.0,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06/AL032_2020-03-06_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06/AL032_2020-03-06_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06/AL032_2020-03-06_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06/AL032_2020-03-06_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06
AL032_2020-03-19,complete,exact,6605360,6605359,1,0.9999998486077973,0.9999997967813828,False,False,True,pass,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19/AL032_2020-03-19_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19/AL032_2020-03-19_validation_report.json,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19/AL032_2020-03-19_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19/AL032_2020-03-19_exact_depth_raster.png,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19
