session_name,session_path,raw_cbin_path,raw_ch_path,raw_meta_path,ks_dir,spike_times_path,spike_clusters_path,spike_templates_path,templates_path,channel_positions_path,cluster_group_path,sample_rate_hz,duration_s,n_saved_chans,total_spikes,cluster_count,good_cluster_count,good_cluster_spike_count,raw_localization_possible,corruption_known,partial_mode,corrupted_chunk_start,corrupted_chunk_end,output_dir,validation_report_path,status
AL032_2019-11-21,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/AL032_2019-11-21_stripe192-natIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/AL032_2019-11-21_stripe192-natIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/AL032_2019-11-21_stripe192-natIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/cluster_group.tsv,30000.0,1963.4422666666667,385,4700551,565,279,3334517,True,True,True,1767,1772,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-21/AL032_2019-11-21_validation_report.json,pending
AL032_2019-11-22,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/AL032_2019-11-22_stripe192-natIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/AL032_2019-11-22_stripe192-natIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/AL032_2019-11-22_stripe192-natIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/cluster_group.tsv,30000.0,1916.6854333333333,385,4594033,597,265,3119094,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-11-22/AL032_2019-11-22_validation_report.json,pending
AL032_2019-12-03,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/AL032_2019-12-03_stripe192_natIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/AL032_2019-12-03_stripe192_natIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/AL032_2019-12-03_stripe192_natIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/cluster_group.tsv,30000.0,2419.3705,385,5951304,571,266,3760953,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-03/AL032_2019-12-03_validation_report.json,pending
AL032_2019-12-13,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/AL032_2019-12-13_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/AL032_2019-12-13_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/AL032_2019-12-13_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/cluster_group.tsv,30000.0,2272.0345333333335,385,6009832,550,239,4064194,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2019-12-13/AL032_2019-12-13_validation_report.json,pending
AL032_2020-01-07,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/AL032_2020-01-07_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/AL032_2020-01-07_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/AL032_2020-01-07_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/cluster_group.tsv,30000.0,2284.8487,385,6260412,618,307,4511928,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-07/AL032_2020-01-07_validation_report.json,pending
AL032_2020-01-16,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/AL032_2020-01-16_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/AL032_2020-01-16_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/AL032_2020-01-16_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/cluster_group.tsv,30000.0,2120.7627333333335,385,5653766,582,290,3940209,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-01-16/AL032_2020-01-16_validation_report.json,pending
AL032_2020-02-04,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/AL032_2020-02-04_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/AL032_2020-02-04_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/AL032_2020-02-04_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/cluster_group.tsv,30000.0,2380.9331666666667,385,6783105,604,310,5063120,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-04/AL032_2020-02-04_validation_report.json,pending
AL032_2020-02-19,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/AL032_2020-02-19_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/AL032_2020-02-19_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/AL032_2020-02-19_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/cluster_group.tsv,30000.0,2366.6071666666667,385,5959593,534,260,4384666,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-02-19/AL032_2020-02-19_validation_report.json,pending
AL032_2020-03-06,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/AL032_2020-03-06_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/AL032_2020-03-06_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/AL032_2020-03-06_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/cluster_group.tsv,30000.0,2414.1914666666667,385,6237289,532,290,4724766,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-06/AL032_2020-03-06_validation_report.json,pending
AL032_2020-03-19,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/AL032_2020-03-19_stripe192_NatIm_g0_t0.imec0.ap.cbin,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/AL032_2020-03-19_stripe192_NatIm_g0_t0.imec0.ap.ch,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/AL032_2020-03-19_stripe192_NatIm_g0_t0.imec0.ap.meta,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/spike_templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/cluster_group.tsv,30000.0,2712.880866666667,385,6605360,552,301,4920809,True,False,False,,,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_session_outputs/AL032_2020-03-19/AL032_2020-03-19_validation_report.json,pending
