mouse,pair_type,pair_key,positive_count,negative_count,auc
AL032,acute,AL032_2019-11-21_to_2019-11-22,121,500,0.8991239669421487
AL032,chronic,AL032_Chronic_1_to_Chronic_2,208,500,0.9815625000000001
AV008,acute,AV008_2022-03-12_to_2022-03-13,11,500,0.7701818181818182
AV008,chronic,AV008_Chronic_1_to_Chronic_2,33,500,0.9950303030303032
CB016,acute,CB016_2021-09-28_to_2021-09-29,78,500,0.7853076923076924
CB016,chronic,CB016_Chronic_1_to_Chronic_2,43,500,0.8275348837209303
EB019,acute,EB019_2022-07-21_to_2022-07-22,25,500,0.96536
EB019,chronic,EB019_Chronic_1_to_Chronic_2,45,500,0.9698666666666668
JF067,acute,JF067_2022-02-14_to_2022-02-15,36,486,0.8908321902149062
JF067,chronic,JF067_Chronic_1_to_Chronic_2,42,489,0.9792579608530528
