mouse,pair_type,pair_key,positive_count,negative_count,auc
AL032,acute,AL032_2019-11-21_to_2019-11-22,121,500,0.9795867768595041
AL032,chronic,AL032_Chronic_1_to_Chronic_2,208,500,0.9878269230769231
AV008,acute,AV008_2022-03-12_to_2022-03-13,11,110,0.8
AV008,chronic,AV008_Chronic_1_to_Chronic_2,33,500,1.0
CB016,acute,CB016_2021-09-28_to_2021-09-29,78,500,0.8875384615384616
CB016,chronic,CB016_Chronic_1_to_Chronic_2,43,500,0.7963720930232558
EB019,acute,EB019_2022-07-21_to_2022-07-22,25,500,0.99744
EB019,chronic,EB019_Chronic_1_to_Chronic_2,45,500,0.9472444444444444
JF067,acute,JF067_2022-02-14_to_2022-02-15,36,500,0.9369444444444445
JF067,chronic,JF067_Chronic_1_to_Chronic_2,42,500,0.9711904761904762
