mouse,group,session_key,positive_count,negative_count,auc
AL032,acute,AL032_2019-11-21,278,278,0.9094508565809223
AL032,acute,AL032_2019-11-22,270,270,0.941371742112483
AL032,chronic,AL032_Chronic_1,316,317,0.9099349119514435
AL032,chronic,AL032_Chronic_2,315,316,0.9921840466144265
AV008,acute,AV008_2022-03-12,63,63,0.7132779037540942
AV008,acute,AV008_2022-03-13,47,46,0.7779833487511564
AV008,chronic,AV008_Chronic_1,79,80,0.8083860759493671
AV008,chronic,AV008_Chronic_2,77,77,0.8787316579524372
CB016,acute,CB016_2021-09-28,355,355,0.9449553659988097
CB016,acute,CB016_2021-09-29,306,306,0.9162074415822974
CB016,chronic,CB016_Chronic_1,249,255,0.5698558941648949
CB016,chronic,CB016_Chronic_2,249,255,0.7207811638711709
EB019,acute,EB019_2022-07-21,40,40,0.955625
EB019,acute,EB019_2022-07-22,46,46,0.9168241965973535
EB019,chronic,EB019_Chronic_1,76,76,0.8112880886426593
EB019,chronic,EB019_Chronic_2,76,76,0.8166551246537397
JF067,acute,JF067_2022-02-14,100,100,0.7985000000000001
JF067,acute,JF067_2022-02-15,74,74,0.7503652300949598
JF067,chronic,JF067_Chronic_1,87,87,0.7442198441009381
JF067,chronic,JF067_Chronic_2,87,87,0.9165015193552649
