mouse,algorithm,tracked_group_count,mean_recordings_per_tracked_group,max_recordings_per_group
AL032,Liberal,237,3.2236286919831225,4
AL032,Default,291,2.9347079037800685,4
AL032,Conservative,304,2.7960526315789473,4
AV008,Liberal,66,2.5,4
AV008,Default,67,2.4328358208955225,4
AV008,Conservative,68,2.3823529411764706,4
CB016,Liberal,172,2.5348837209302326,4
CB016,Default,230,2.4260869565217393,4
CB016,Conservative,240,2.3625,4
EB019,Liberal,55,3.018181818181818,4
EB019,Default,65,2.723076923076923,4
EB019,Conservative,66,2.621212121212121,4
JF067,Liberal,72,2.888888888888889,4
JF067,Default,77,2.779220779220779,4
JF067,Conservative,78,2.7435897435897436,4
