mouse,group,session_label,session_key,ks_dir,raw_waveform_dir,label_path,output_dir,nonfinite_waveform_values,n_units,self_match_rate_percent,false_negative_rate_percent,false_positive_percent,unexpected_matches_per_expected_match
AL032,acute,2019-11-21,AL032_2019-11-21,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1/cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_2019-11-21,0,278,93.5251798561151,6.474820143884898,0.0597356050177908,0.1654676258992805
AL032,acute,2019-11-22,AL032_2019-11-22,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1/cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_2019-11-22,0,270,93.33333333333331,6.666666666666671,0.0550736610216164,0.1481481481481481
AL032,chronic,Chronic_1,AL032_Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1/1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AL032_chronic_1_cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_Chronic_1,62976,318,91.8238993710692,8.176100628930811,0.0932484177529115,0.2955974842767295
AL032,chronic,Chronic_2,AL032_Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1/2/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AL032_chronic_2_cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AL032_Chronic_2,251904,318,90.88050314465409,9.119496855345917,0.0744003333134932,0.2358490566037736
AV008,acute,2022-03-12,AV008_2022-03-12,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1/cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_2022-03-12,0,64,90.625,9.375,0.5208333333333333,0.328125
AV008,acute,2022-03-13,AV008_2022-03-13,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1/cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_2022-03-13,0,48,95.83333333333334,4.166666666666657,0.0443262411347517,0.0208333333333333
AV008,chronic,Chronic_1,AV008_Chronic_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1/1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AV008_chronic_1_cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_Chronic_1,62976,80,87.5,12.5,0.1582278481012658,0.125
AV008,chronic,Chronic_2,AV008_Chronic_2,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1/2/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AV008_chronic_2_cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/AV008_Chronic_2,188928,77,85.71428571428571,14.285714285714292,0.1196172248803827,0.0909090909090909
CB016,acute,2021-09-28,CB016_2021-09-28,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1/cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/CB016_2021-09-28,0,355,93.2394366197183,6.760563380281695,0.0644545237526856,0.228169014084507
CB016,acute,2021-09-29,CB016_2021-09-29,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1/RawWaveforms,/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1/cluster_group.tsv,/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/within_day/CB016_2021-09-29,0,308,79.87012987012987,20.129870129870127,0.0750877786708405,0.2305194805194805
