session_name,session_date,session_order,session_path,ks_path,spike_times_path,spike_clusters_path,templates_path,channel_positions_path,cluster_group_path,prepared_data_path,params_path,raw_waveforms_path,sample_rate_hz,duration_s,total_spike_count,cluster_count_from_spike_clusters,cluster_count_from_cluster_group,good_cluster_count,good_cluster_ids_preview,raw_waveform_file_count,good_cluster_waveform_coverage_count,raw_ap_cbin_exists,raw_ap_ch_exists,raw_ap_meta_exists,raw_availability,localized_outputs_exist,localized_spike_table_path,localized_good_cluster_summary_path,localized_validation_report_path,localization_method,localization_mode,localization_fraction_overall,localization_fraction_good_clusters,partial_or_exact
AL032_2019-11-21,2019-11-21,1,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/qMetrics/RawWaveforms,30000.0,1963.4430333333332,4700551,565,565,279,"0,2,3,5,6,7,8,9,10,11",565,279,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-21/AL032_2019-11-21_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-21/AL032_2019-11-21_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-21/AL032_2019-11-21_validation_report.json,monopolar_triangulation,partial,0.9969299343842881,0.9969182943136892,partial
AL032_2019-11-22,2019-11-22,2,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/qMetrics/RawWaveforms,30000.0,1916.6867,4594033,597,597,265,"2,3,4,5,7,8,9,10,11,12",597,265,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-22/AL032_2019-11-22_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-22/AL032_2019-11-22_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-22/AL032_2019-11-22_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2019-12-03,2019-12-03,3,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/qMetrics/RawWaveforms,30000.0,2419.3715333333334,5951304,571,571,266,"3,5,6,7,8,9,11,13,14,15",571,266,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-03/AL032_2019-12-03_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-03/AL032_2019-12-03_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-03/AL032_2019-12-03_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2019-12-13,2019-12-13,4,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/qMetrics/RawWaveforms,30000.0,2272.0345666666667,6009832,550,550,239,"0,1,3,6,8,10,11,12,13,15",550,239,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-13/AL032_2019-12-13_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-13/AL032_2019-12-13_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-13/AL032_2019-12-13_validation_report.json,monopolar_triangulation,exact,0.9999901827538606,0.9999985236925206,exact
AL032_2020-01-07,2020-01-07,5,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/qMetrics/RawWaveforms,30000.0,2284.8512,6260412,618,618,307,"1,3,5,6,8,11,12,13,14,15",618,307,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-07/AL032_2020-01-07_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-07/AL032_2020-01-07_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-07/AL032_2020-01-07_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2020-01-16,2020-01-16,6,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/qMetrics/RawWaveforms,30000.0,2120.7627666666667,5653766,582,582,290,"1,2,9,11,12,13,14,15,16,17",582,290,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-16/AL032_2020-01-16_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-16/AL032_2020-01-16_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-16/AL032_2020-01-16_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2020-02-04,2020-02-04,7,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/qMetrics/RawWaveforms,30000.0,2380.933433333333,6783105,604,604,310,"1,3,10,11,12,13,14,15,16,17",604,310,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-04/AL032_2020-02-04_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-04/AL032_2020-02-04_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-04/AL032_2020-02-04_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2020-02-19,2020-02-19,8,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/qMetrics/RawWaveforms,30000.0,2366.607666666667,5959593,534,534,260,"1,2,4,8,9,10,12,14,15,16",534,260,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-19/AL032_2020-02-19_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-19/AL032_2020-02-19_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-19/AL032_2020-02-19_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2020-03-06,2020-03-06,9,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/qMetrics/RawWaveforms,30000.0,2414.1919,6237289,532,532,290,"1,5,11,12,13,14,15,16,17,18",532,290,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-06/AL032_2020-03-06_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-06/AL032_2020-03-06_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-06/AL032_2020-03-06_validation_report.json,monopolar_triangulation,exact,1.0,1.0,exact
AL032_2020-03-19,2020-03-19,10,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/spike_times.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/spike_clusters.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/templates.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/channel_positions.npy,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/PreparedData.mat,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/params.py,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/qMetrics/RawWaveforms,30000.0,2712.880833333333,6605360,552,552,301,"1,2,5,6,7,8,9,11,12,13",552,301,True,True,True,True,True,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-19/AL032_2020-03-19_localized_spike_table.csv.gz,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-19/AL032_2020-03-19_good_cluster_summary.csv,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-19/AL032_2020-03-19_validation_report.json,monopolar_triangulation,exact,0.9999998486077973,0.9999997967813828,exact
