session_name,session_order,ks_path,raw_waveforms_path,unit_label_path,prepared_data_path,localization_spike_table_path,localization_method,localization_mode,sample_rate_hz,duration_s,good_cluster_count,required_files_exist,spike_arrays_aligned,waveform_file_count,good_waveform_hit_count,waveform_shape,waveform_timepoints,waveform_cv_dim_two,waveform_channels_match_channel_positions,template_channels_match_channel_positions,sample_rate_present,unitmatch_ready,issues,warnings
AL032_2019-11-21,1,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-21/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-21/AL032_2019-11-21_localized_spike_table.csv.gz,monopolar_triangulation,partial,30000.0,1963.4430333333328,279,True,True,565,279,82x384x2,82,True,True,True,True,True,,
AL032_2019-11-22,2,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-11-22/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-11-22/AL032_2019-11-22_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,1916.6867,265,True,True,597,265,82x384x2,82,True,True,True,True,True,,
AL032_2019-12-03,3,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-03/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-03/AL032_2019-12-03_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2419.371533333333,266,True,True,571,266,82x384x2,82,True,True,True,True,True,,
AL032_2019-12-13,4,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2019-12-13/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2019-12-13/AL032_2019-12-13_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2272.0345666666667,239,True,True,550,239,82x384x2,82,True,True,True,True,True,,
AL032_2020-01-07,5,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-07/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-07/AL032_2020-01-07_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2284.8512,307,True,True,618,307,82x384x2,82,True,True,True,True,True,,
AL032_2020-01-16,6,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-01-16/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-01-16/AL032_2020-01-16_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2120.7627666666667,290,True,True,582,290,82x384x2,82,True,True,True,True,True,,
AL032_2020-02-04,7,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-04/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-04/AL032_2020-02-04_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2380.933433333333,310,True,True,604,310,82x384x2,82,True,True,True,True,True,,
AL032_2020-02-19,8,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-02-19/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-02-19/AL032_2020-02-19_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2366.607666666667,260,True,True,534,260,82x384x2,82,True,True,True,True,True,,
AL032_2020-03-06,9,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-06/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-06/AL032_2020-03-06_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2414.1919,290,True,True,532,290,82x384x2,82,True,True,True,True,True,,
AL032_2020-03-19,10,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/qMetrics/RawWaveforms,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/cluster_group.tsv,/scratch/am15577/UnitMatch/raw_data/extracted/AL032_2020-03-19/ks/PreparedData.mat,/scratch/am15577/UnitMatch/spike_rosters_raw/al032_rosters_monopolar_triangulation/AL032_2020-03-19/AL032_2020-03-19_localized_spike_table.csv.gz,monopolar_triangulation,exact,30000.0,2712.880833333333,301,True,True,552,301,82x384x2,82,True,True,True,True,True,,
