session_name_i,session_name_j,session_date_i,session_date_j,session_index_i,session_index_j,days_apart,units_in_session_i,units_in_session_j,shared_tracked_units,max_possible_shared_units,shared_fraction_of_possible
AL032_2019-11-21,AL032_2019-11-21,2019-11-21,2019-11-21,0,0,0,238,238,238,238,1.0
AL032_2019-11-21,AL032_2019-11-22,2019-11-21,2019-11-22,0,1,1,238,222,93,222,0.4189189189189189
AL032_2019-11-21,AL032_2019-12-03,2019-11-21,2019-12-03,0,2,12,238,222,63,222,0.28378378378378377
AL032_2019-11-21,AL032_2019-12-13,2019-11-21,2019-12-13,0,3,22,238,196,59,196,0.3010204081632653
AL032_2019-11-21,AL032_2020-01-07,2019-11-21,2020-01-07,0,4,47,238,238,59,238,0.24789915966386555
AL032_2019-11-21,AL032_2020-01-16,2019-11-21,2020-01-16,0,5,56,238,224,50,224,0.22321428571428573
AL032_2019-11-21,AL032_2020-02-04,2019-11-21,2020-02-04,0,6,75,238,236,53,236,0.2245762711864407
AL032_2019-11-21,AL032_2020-02-19,2019-11-21,2020-02-19,0,7,90,238,201,37,201,0.18407960199004975
AL032_2019-11-21,AL032_2020-03-06,2019-11-21,2020-03-06,0,8,106,238,235,46,235,0.19574468085106383
AL032_2019-11-21,AL032_2020-03-19,2019-11-21,2020-03-19,0,9,119,238,249,36,238,0.15126050420168066
AL032_2019-11-21,AL032_2020-03-31,2019-11-21,2020-03-31,0,10,131,238,278,37,238,0.15546218487394958
AL032_2019-11-21,AL032_2020-06-03,2019-11-21,2020-06-03,0,11,195,238,179,22,179,0.12290502793296089
AL032_2019-11-22,AL032_2019-11-21,2019-11-22,2019-11-21,1,0,1,222,238,93,222,0.4189189189189189
AL032_2019-11-22,AL032_2019-11-22,2019-11-22,2019-11-22,1,1,0,222,222,222,222,1.0
AL032_2019-11-22,AL032_2019-12-03,2019-11-22,2019-12-03,1,2,11,222,222,61,222,0.2747747747747748
AL032_2019-11-22,AL032_2019-12-13,2019-11-22,2019-12-13,1,3,21,222,196,55,196,0.28061224489795916
AL032_2019-11-22,AL032_2020-01-07,2019-11-22,2020-01-07,1,4,46,222,238,61,222,0.2747747747747748
AL032_2019-11-22,AL032_2020-01-16,2019-11-22,2020-01-16,1,5,55,222,224,57,222,0.25675675675675674
AL032_2019-11-22,AL032_2020-02-04,2019-11-22,2020-02-04,1,6,74,222,236,52,222,0.23423423423423423
AL032_2019-11-22,AL032_2020-02-19,2019-11-22,2020-02-19,1,7,89,222,201,41,201,0.20398009950248755
AL032_2019-11-22,AL032_2020-03-06,2019-11-22,2020-03-06,1,8,105,222,235,44,222,0.1981981981981982
AL032_2019-11-22,AL032_2020-03-19,2019-11-22,2020-03-19,1,9,118,222,249,34,222,0.15315315315315314
AL032_2019-11-22,AL032_2020-03-31,2019-11-22,2020-03-31,1,10,130,222,278,37,222,0.16666666666666666
AL032_2019-11-22,AL032_2020-06-03,2019-11-22,2020-06-03,1,11,194,222,179,17,179,0.09497206703910614
AL032_2019-12-03,AL032_2019-11-21,2019-12-03,2019-11-21,2,0,12,222,238,63,222,0.28378378378378377
AL032_2019-12-03,AL032_2019-11-22,2019-12-03,2019-11-22,2,1,11,222,222,61,222,0.2747747747747748
AL032_2019-12-03,AL032_2019-12-03,2019-12-03,2019-12-03,2,2,0,222,222,222,222,1.0
AL032_2019-12-03,AL032_2019-12-13,2019-12-03,2019-12-13,2,3,10,222,196,86,196,0.4387755102040816
AL032_2019-12-03,AL032_2020-01-07,2019-12-03,2020-01-07,2,4,35,222,238,76,222,0.34234234234234234
AL032_2019-12-03,AL032_2020-01-16,2019-12-03,2020-01-16,2,5,44,222,224,69,222,0.3108108108108108
AL032_2019-12-03,AL032_2020-02-04,2019-12-03,2020-02-04,2,6,63,222,236,63,222,0.28378378378378377
AL032_2019-12-03,AL032_2020-02-19,2019-12-03,2020-02-19,2,7,78,222,201,41,201,0.20398009950248755
AL032_2019-12-03,AL032_2020-03-06,2019-12-03,2020-03-06,2,8,94,222,235,42,222,0.1891891891891892
AL032_2019-12-03,AL032_2020-03-19,2019-12-03,2020-03-19,2,9,107,222,249,39,222,0.17567567567567569
AL032_2019-12-03,AL032_2020-03-31,2019-12-03,2020-03-31,2,10,119,222,278,43,222,0.19369369369369369
AL032_2019-12-03,AL032_2020-06-03,2019-12-03,2020-06-03,2,11,183,222,179,19,179,0.10614525139664804
AL032_2019-12-13,AL032_2019-11-21,2019-12-13,2019-11-21,3,0,22,196,238,59,196,0.3010204081632653
AL032_2019-12-13,AL032_2019-11-22,2019-12-13,2019-11-22,3,1,21,196,222,55,196,0.28061224489795916
AL032_2019-12-13,AL032_2019-12-03,2019-12-13,2019-12-03,3,2,10,196,222,86,196,0.4387755102040816
AL032_2019-12-13,AL032_2019-12-13,2019-12-13,2019-12-13,3,3,0,196,196,196,196,1.0
AL032_2019-12-13,AL032_2020-01-07,2019-12-13,2020-01-07,3,4,25,196,238,83,196,0.42346938775510207
AL032_2019-12-13,AL032_2020-01-16,2019-12-13,2020-01-16,3,5,34,196,224,80,196,0.40816326530612246
AL032_2019-12-13,AL032_2020-02-04,2019-12-13,2020-02-04,3,6,53,196,236,77,196,0.39285714285714285
AL032_2019-12-13,AL032_2020-02-19,2019-12-13,2020-02-19,3,7,68,196,201,55,196,0.28061224489795916
AL032_2019-12-13,AL032_2020-03-06,2019-12-13,2020-03-06,3,8,84,196,235,63,196,0.32142857142857145
AL032_2019-12-13,AL032_2020-03-19,2019-12-13,2020-03-19,3,9,97,196,249,52,196,0.2653061224489796
AL032_2019-12-13,AL032_2020-03-31,2019-12-13,2020-03-31,3,10,109,196,278,51,196,0.2602040816326531
