uid_conservative,recording_count,mean_same_uid_probability,min_same_uid_probability,session_unit_ids
108,4,0.9999930668040679,0.999989922657216,"{""2019-11-21"": 237, ""2019-11-22"": 247, ""Chronic_1"": 418, ""Chronic_2"": 418}"
172,4,0.9999809907873861,0.9999553373761656,"{""2019-11-21"": 364, ""2019-11-22"": 373, ""Chronic_1"": 626, ""Chronic_2"": 626}"
5,4,0.9999772323170312,0.9999354542225118,"{""2019-11-21"": 7, ""2019-11-22"": 5, ""Chronic_1"": 7, ""Chronic_2"": 7}"
95,4,0.9999764064847388,0.9998988503802616,"{""2019-11-21"": 211, ""2019-11-22"": 220, ""Chronic_1"": 384, ""Chronic_2"": 384}"
37,4,0.9999702038774086,0.9999359743932148,"{""2019-11-21"": 80, ""2019-11-22"": 74, ""Chronic_1"": 145, ""Chronic_2"": 145}"
116,4,0.9999515872196789,0.9998371165695132,"{""2019-11-21"": 250, ""2019-11-22"": 259, ""Chronic_1"": 432, ""Chronic_2"": 432}"
32,4,0.999932931383633,0.9998270208645113,"{""2019-11-21"": 66, ""2019-11-22"": 59, ""Chronic_1"": 112, ""Chronic_2"": 112}"
145,4,0.9999191638901542,0.9997249001868196,"{""2019-11-21"": 305, ""2019-11-22"": 308, ""Chronic_1"": 526, ""Chronic_2"": 526}"
136,4,0.9999143659650951,0.999817439947839,"{""2019-11-21"": 287, ""2019-11-22"": 289, ""Chronic_1"": 496, ""Chronic_2"": 496}"
64,4,0.9998954136840489,0.9995121196950052,"{""2019-11-21"": 142, ""2019-11-22"": 140, ""Chronic_1"": 257, ""Chronic_2"": 257}"
177,4,0.9998952791276464,0.9994992202421938,"{""2019-11-21"": 373, ""2019-11-22"": 387, ""Chronic_1"": 648, ""Chronic_2"": 648}"
84,4,0.9998927590742449,0.999686484143906,"{""2019-11-21"": 198, ""2019-11-22"": 206, ""Chronic_1"": 364, ""Chronic_2"": 364}"
